"project.id","country","p.n","p.do","p.cdate","p.invest","p.year"
"p127455","oriental republic of uruguay","oriental republic of uruguay montevideo landfill gas recovery project",NA,2017-07-25,2500000,2017
"p125763","republic of colombia","building the foundations for a longitudinal survey in colombia","",2012-12-31,166500,2012
"p127331","republic of honduras","first programmatic reducing vulnerabilities for growth development policy credit",NA,2012-11-15,8.6e+07,2012
"p110050","republic of honduras","improving public sector performance","the objective of the project is to strengthen the management of public finances and to establish a more efficient effective and transparent public procurement system through i upgrading the public financial management system ii upgrading the eprocurement platform iii enhancing the internal control systems over personnel expenditures and iv building capacity of the central administration",2015-12-31,25330316,2015
"p124663","federative republic of brazil","caixa solid waste management and carbon finance project","project will support the creation of a program within the caixa economica federal do brazil through which caixa will be able to identify prepare and partially finance emission reduction activities under solid waste management projects and sell the resulting emissions reductions credits",2023-05-31,3e+07,2023
"p123367","united mexican states","savings and credit sector consolidation and financial inclusion project","the objective of the project is to support the a consolidation of the savings and credit sector institutions sci and b deepening of financial inclusion in selected areas and selected locations in mexico",2017-07-21,209620000,2017
"p126744","republic of haiti","relaunching agriculture strengthening agriculture public services ii project gafsp  ida","the new proposed pdo is to a reinforce the capacity of the ministry of agriculture natural resources and rural development to pr ovide or facilitate access to services in the agricultural sector b increase market access to small producers and food security i n selected areas c improve livelihood in areas affected by hurricane matthew and d enable the government to respond promptly an d effectively to an eligible emergency",2022-03-31,5e+07,2022
"p126346","republic of haiti","disaster risk management and reconstruction","the project development objective is to support the recipient in improving disaster response capacity and enhancing the resiliency of critical transport infrastructure",2020-06-30,6e+07,2020
"p124134","republic of haiti","haiti  education for all project  phase ii","the objective of the project is to support i enrollment of students in select nonpublic primary schools in disadvantagedareasii student attendance in select public and nonpublic primary schools in disadvantaged areas and iii strengthened management of the recipients primary education sector",2018-06-30,7e+07,2018
"p129561","republic of peru","pe mainstreaming inclusive design and universal mobility in lima","to improve the capacity of the municipality of lima and to mainstream the needs of persons with disability in the planning and implementation of urban walkingpublic transport facilities",2017-12-31,2500000,2017
"p124181","oriental republic of uruguay","sustainable management of natural resources and climate change","the development objective of the project is to support uruguays efforts to promote farmer adoption of climate smart agricultural an d livestock practices and improved natural resource management practices in project areas",2021-11-16,5.5e+07,2021
"p125806","dominican republic","do3rd performaccbilty of socsctrs dpl",NA,2012-11-30,7e+07,2012
"p123242","oriental republic of uruguay","2nd programmatic public sector competitiveness and social inclusion development policy loan with drawdown option","the main development objectives of the loan are the following
i	strengthening public sector administration
ii	improving competitiveness through measures seeking to facilitate trade strengthen the business environment and develop financial markets
iii	improving social inclusion through measures seeking to enhance the equity and efficiency of health education and social protection services",2018-06-25,2.6e+08,2018
"p122738","republic of panama","disaster risk management development policy loan with a cat ddo","the overall development objective of the proposed operation is to enhance the gops capacity to implement its disaster risk management program for natural disasters",2021-06-30,6.6e+07,2021
"p126788","republic of nicaragua","investment phase under the caribbean coast development program","the overall objetive of the program and of the project is to increase household wellbeing in selected territories of the nicaragua caribbean region the above region includes the northern and southern autonomous regions raan and raas and the upper coco special zone and bocay",2013-07-31,2470367,2013
"p127925","federative republic of brazil","br fostering short sea shipping","to develop short sea shipping as a better costefficient and greener mode of tranport",2016-02-29,3e+05,2016
"p123241","jamaica","2nd programmatic debt and fiscal sustainability development policy loan","1	enhancing fiscal and debt sustainability by supporting reforms to increase control on public spending and debt generation reduce debt service burden and improve debt management reduce financial vulnerabilities and increase public spending effectiveness
2	increasing the efficiency of financial management and budget processes by supporting efforts to improve the efficiency of public expenditure and investment and strengthen control of public finances and the effectiveness of government budgeting practices
3	reducing distortions and enhancing the efficiency of the tax system through reducing the use of fiscal incentives and increasing the uniformity of the tax code improving client services for tax payers broadening the tax base and simplifying tax payments",2012-03-31,1e+08,2012
"p103470","organization of eastern caribbean states","sustainable financing  management of eastern caribbean marine ecosystem project","to contribute to enhancing the longterm sustainability of protected area networks in the participating countries by i establishing sustainable financing mechanisms ii strengthening of the marine protected area networks and iii deploying a regional monitoring and information system for the protected area networks",2016-12-31,18872000,2016
"p120637","federative republic of brazil","plantar green pig iron project","to demonstrate the use of the cdm mechanism to generate highquality ghg emission reductions in the three stages of renewable charcoal production as an alternative to coal coke in the pig iron industry",2019-06-27,12300000,2019
"p121137","republic of guatemala","empowering guatemalas indigenous communities to cope with climate change","",2013-05-31,199966,2013
"p107137","plurinational state of bolivia","bo picar community investment in rural areas","to improve access to sustainable basic infrastructure and services for the most disadvantaged rural communities selected in some ofthe poorest municipalities of bolivia",2020-12-31,4.3e+07,2020
"p117947","republic of colombia","support to the national urban transit program project","the project development objective is to enhance the efficiency affordability quality safety and environmental sustainability ofthe provision of public transit services in the participating cities",2020-09-30,4.1e+08,2020
"p123267","republic of colombia","first programmatic fiscal sustainability and growth resilience development policy loan","enhanced fiscal sustainability and strengthened resilience of economic growth  the programmatic dpl operation supports the longterm country partnership strategy cps outcome of improved fiscal financial and social risk management under the  inclusive growth with enhanced productivity cps theme",2012-06-30,3e+08,2012
"p117157","republic of el salvador","strengthening public health care system","the objectives of the project are to  i expand the coverage quality and equity in utilization of priority health services provided under the riiss and ii strengthen minsal  stewardship capacity to manage essential public health functions",2018-05-30,8e+07,2018
"p106700","plurinational state of bolivia","agricultural innovation and services",NA,2017-02-15,52900000,2017
"p125760","republic of el salvador","safeguarding human capital of urban poor children in the context of recurring food crisis","the objective of this project is to safeguard the health nutritional cognitive and social outcomes of very young children living in marginalized urban poor families against shocks and to mitigate the effects of food price volatility on pregnant women and children under 3 years of age",2016-01-26,2996879,2016
"p112073","federative republic of brazil","br federal integrated water  interaguas","to support the government of brazil to improve the coordination and strengthen the capacity among key federal institutions in the water sector toward an integrated approach",2018-10-31,143110000,2018
"p125451","republic of guatemala","guatemala extractive industries transparency initiative implementation","pto strengthen the capacity of the eiti secretariat and the multistakeholder group tonbspimplement thenbspextractive industry  transparency initiative eiti in guatemalap",2015-06-30,3e+05,2015
"p123128","grenada","grenada safety net advancement project","the revised development objectives of the project are to strengthen the basic architecture of the seed program and the capacity of t he ministry of social development and housing mosdh to implement it",2018-09-30,5e+06,2018
"p106680","republic of honduras","second land administration project","provide the population in the project area with improved decentralized land administration services including better access to and more accurate information on property records and transactions",2017-01-30,32800000,2017
"p117871","organization of eastern caribbean states","regional disaster vulnerability reduction apl1  grenada and st vincent and the grenadines","the program aims at measurably reducing vulnerability to natural hazards and climate change impacts in the eastern caribbean subregion  the objective of the project in grenada is to measurably reduce vulnerability to natural hazards and climate change impacts in grenada and in the eastern caribbean subregion  the objective of the project in saint vincent and the grenadines is to measurably reduce vulnerability to natural hazards and climate change impacts in saint vincent and the grenadines and in the eastern caribbean subregion  the achievement of the program development objectives of the regional disaster vulnerability reduction program rdvrp would be measured using the following key indicators  a reduced risk of oecs population to failure of public buildings and infrastructure due to natural hazards or climate change impacts and  b increased capacity of oecs governments to identify and monitor climate risk and impacts",2022-01-31,53120000,2022
"p125288","cooperative republic of guyana","ug science and technology support","the objective of the project is to strengthen the four science and technology faculties at ug through infrastructure research and curricular improvements while building the basis for improved facilities management and future growth",2017-09-30,11400000,2017
"p101414","organization of eastern caribbean states","eastern caribbean energy regulatory authority ecera","the objective of the project is to establish and operationalize a regional approach to the development of the electricity sectorinparticipating countries by supporting the establishment of the ecera",2018-11-30,5600000,2018
"p126399","central america","incae regional public sector leadership program","the development objective of this grant is to develop a regional leadership program for government officials in central american public administrations that build up a cadre of experts that can successfully lead public sector modernization initiatives and public policy reforms specifically this grant will support the successful design and completion of the first advanced management program amp known as pag by its spanish initials an intensive 4 week mini public sector mbastyle program for mid career professionals",2013-03-06,3e+05,2013
"p122699","republic of el salvador","public finance and social progress dpl","the proposed dpl series supports the government objective of promoting social development and inclusion while maintaining a sustainable medium term fiscal framework in particular the operation supports the governments efforts aimed at i creating fiscal space for needed social expenditure by supporting actions to increase tax revenues and to improve efficiency and transparency in the allocation of public resources the actions cover a number of strategic areas supported by the cps such as expanding fiscal space implementing results based budgeting and enhancing access to information and fiscal transparency ii protecting and including vulnerable segments of the population by allocating additional public resources towards social programs targeting vulnerable groups such as the elderly women and children in poor areas",2012-12-31,1e+08,2012
"p126812","republic of nicaragua","save the children  grant investment phase under the caribbean coast development program","the overall objetive of the program and of the project is to increase household wellbeing in selected territories of the nicaragua caribbean region the above region includes the northern and southern autonomous regions raan and raas and the upper coco special zone and bocay",2013-07-31,1200000,2013
"p122007","plurinational state of bolivia","national roads and airport infrastructure project","to improve the yearround transitability of the san buenaventura  ixiamas natio nal road and improve the safety security and operational reliability of the rur renabaque airport",2023-08-02,129200000,2023
"p125805","republic of haiti","port au prince neighborhood housing reconstruction","the objective of the project is to help residents of selected portauprince neighborhoods severely affected by the earthquakereturn to their communities by supporting them to repair andor reconstruct their houses andor return to improved housingconditions and improving basic community service infrastructure",2016-12-31,6.5e+07,2016
"p121135","republic of nicaragua","droughthardy food forests to help miskito children weather the storm","",2013-05-31,0,2013
"p123255","republic of panama","development policy loan",NA,2012-06-30,1e+08,2012
"p125697","republic of colombia","jsdf colombia soccer together  rethinking how to improve gender equity and inclusion in the education system","the objective is to develop and adapt a generic pedagogical model providing skills and values to help girls and boys aged 5 to 16 years to gain confidence improve their quality of life and build a peaceful future",2016-05-03,1900000,2016
"p106735","argentine republic","provincial public health insurance development project","the pdos are to a increase utilization and quality of key health services for the uninsured target population and b improve institutional management by strengthening the incentives for results in participating provinces and among authorized providers",2019-08-31,4e+08,2019
"p117864","republic of peru","second rural electrification","the development objective of the project is to increase access to electricity in rural areas of peru on an efficient and sustainable basis it would build on the achievements of the first re project but would operate in more challenging conditions providing electricity service in localities that are increasingly distant from the grid and with more dispersed populations",2017-08-31,82705000,2017
"p117293","republic of peru","pe optimization of lima water and sewerage systems","the proposed development objective of this project is to improve efficiency continuity and reliability of water supply and sanitation services in the northern area of lima",2020-12-31,64900000,2020
"p125151","argentine republic","plan belgrano water supply and sanitation services development project","the proposed new project development objectives are to increase access to water supply and sanitation services and to improve the operational and financial performance of the water supply and sanitation service providers in the project area",2023-06-30,2.4e+08,2023
"p120391","federative republic of brazil","federal university hospitals modernization project","the objective of the project is to strengthen the performance of the rehuf program by i improving hospital governance and manage ment by results ii modernizing of the borrowers hospital technology and iii improving hospital care research and education p rocesses",2015-12-31,5.62e+08,2015
"p125903","republic of honduras","hn integ urban water mngmt iuwm in the greater tegucigalpa area","the grant39s development objective is to support the development of an integrated solution to the city of tegucigalpa39s water challenges by improving the planning and analytical capacity of the municipality enabling a stakeholder dialogue and communication activities around the city39s water issues and designing the related studies",2016-06-30,4e+05,2016
"p122391","federative republic of brazil","rio de janeiro metropolitan urban and housing development","the objective of the proposed operation is to support the state government of rio de janeiro gorj to strengthen its policies for planning and managing territorial growth in the rio de janeiro metropolitan region regiao metropolitana de rio de janeiro rmrj promoting the provision of affordable housing and creating integrated social development programs targeted at the urban poor  the proposed operation is fully consistent with and closely linked to the objectives of the brazil cps 20082011  in particular through its prior actions the dpl will strengthen local governance at the metropolitan level boost competitiveness by supporting mechanisms that facilitate infrastructure development improve environmental sustainability by protecting natural resources and assets andincrease equity by reaching out to the most vulnerable",2012-12-31,4.85e+08,2012
"p125602","republic of ecuador","jsdf  growing with our guaguas children","contribute to the reduction of chronic malnutrition in children under five in the ten cantons of the province of chimborazo with a stunting rate of 53 by i raising parental understanding and expectations regarding adequate child growth ii encouraging takeup of primary health and nutritionrelated services and iii empowering parents to put pressure on health services to improve the quality and intensity of nutritional monitoring and counseling",2015-06-30,2218397,2015
"p112780","jamaica","jamaica energy security and efficiency enhancement project","the objective of the project is to increase energy efficiency and security through the implementation of the borrowersnationalenergy policy",2017-10-31,1.5e+07,2017
"p125205","st lucia","saint lucia hurricane tomas emergency recovery loan","the objective of the project is to support the recovery and reconstruction of the recipient in the aftermath of hurricane tomas",2014-09-30,1.5e+07,2014
"p117310","republic of peru","results in nutrition for juntos swap","the proposed operation has been designed to support the demand supply and governance of nutrition services provided by the government of peru gop organized under the articulated nutrition program pan the objectives of the proposed operation are to i increase demand for nutrition services by strengthening the operational effectiveness of the juntos conditional cash transfer cct program and ii improve coverage and quality of the supply of basic preventive health and nutrition services in the communities covered under the pan including juntos activities to support both objectives include a strong emphasis in promoting good governance to monitor the impact of the government programs and of the proposed intervention in nutrition outcomes",2017-06-30,5.4e+07,2017
"p125899","central america","central america drr  cca program","1 expand and consolidate the capra initiative and support the establishment of a regional mechanism for risk reduction and climate change adaptation 2 provide technical assistance to cepredenac and the ca countries to enhance their capacity to identify design and implement disaster risk reduction and climate change adaptation measures 3 support cepredenac in the creation of a regional fund for risk reduction and climate change adaptation",2015-06-30,6e+05,2015
"p112011","republic of guatemala","gt enhancing msme productivity project","the objective of the project is to stimulate growth of msmes in selected value chains",2016-06-30,3.2e+07,2016
"p121492","republic of panama","enhanced public sector efficiency technical assistance loan","the objective of the project is to assist public agencies of the borrower in producing using and disseminating timely and quality performance information thereby allowing a more efficient transparent and accountable use of the borrowers public budget funds",2020-06-30,60130000,2020
"p120349","belize","bz jsdf improving childrens health","to improve the health and nutrition of children in local mayan communities in toledo belize through an early childhood developmentapproach focusing on prenatal care nutrition monitoring in the critical window of opportunity and school health interventions atthe primary school level",2016-01-15,2996144,2016
"p125006","federative republic of brazil","br n2o emission reduction project","the development objective of the proposed project is to reduce emissions of n2o a powerful greenhouse gas which would in the absence of the project have been emitted into the atmosphere contributing to the damaging effects of climate change",2014-06-30,4e+07,2014
"p125764","united mexican states","development of an internal control it system for the ministry of public administration","the development objective do of this grant is to strengthen the institutional capacity of the sfp through the development and impl ementation of an internal control it system that will be an inhouse development which will function as a risk management tool for the use of all public sector entities in the mexican federal government and is expected to have the following featurescapabilities 
i evaluate and control the information produced by the public entities from the application of risk management methodologies and  processes whose objective is to produce an inventory of risks classified according to its nature and importance measured accordi ng to their impact and probability of occurrence
ii monitor the risk management indicators related to the performance of the risk  inventory such as the inclusion of new risks and the increase in the importance of risks and determine the strategies needed to m anage risks which may consist in avoiding reducing assuming or transferring each of the risks
iii allow the implementation of suitable internal controls to mitigate the more relevant risks
iv provide strategic information for decision taking in an efficie nt and reliable manner",2014-09-30,122000,2014
"p121836","argentine republic","public sector strengthening program  apl1","the objective is to improve the public sector ability to contribute to the econo mic and social development of the province of la rioja",2017-12-31,3e+07,2017
"p121690","republic of haiti","household development agent pilot","the development objective of the household development agent pilot is to test and learn lessons from a new mechanism to i improve family health and nutrition practices and ii strengthen capacity to deliver social services directly to families in the pilot are a to do so the pilot will employ a threepronged strategy i provide nutrition and health related education to beneficiary famil ies and improve their awareness of the availability of social programs and services ii provide basic commodities and select servi ces directly to the families and iii strengthen management and monitoring of the access to social services to families",2014-12-31,1500000,2014
"p121779","republic of nicaragua","nicaragua social protection","the objectives of the project are to i improve the basic conditions of welfare and social wellbeing of extremely  poor beneficiary  families with children in selected poor localities ii strengthen the capacity of mifan to implement the family andcommunitybased social welfare model and iii promote preschool and primary school attendance through the provision of schoollunches",2017-06-30,19500000,2017
"p122640","republic of el salvador","disaster risk management development policy loan with a cat ddo",NA,2014-08-31,5e+07,2014
"p116974","argentine republic","ar third national communication unfccc",NA,2015-06-30,3054974,2015
"p112264","united mexican states","strengthening the business environment for enhanced economic growth dpl","the objective is to support economic policies that will strengthen mexicos business environment and the microeconomic foundations for enhanced economic growth and employment generation",2012-01-31,751879700,2012
"p120110","republic of haiti","cholera emergency response project",NA,2014-03-30,1.5e+07,2014
"p101336","plurinational state of bolivia","strengthening statistical capacity and informational base for evidencebased planning","the project development objective is to strengthen the statistical capacity and improve the informational base of the recipient in order to provide quality information as defined by its reliability timeliness accuracy and representativeness with the level of d isaggregation necessary to support systems for planning designing monitoring and evaluating public programs and policies",2019-06-14,5e+07,2019
"p124939","st vincent and the grenadines","hurricane tomas emergency recovery loan","the development objectives are to support the recipients efforts to i rehabilitate damaged and vulnerable infrastructure causedby the passage of hurricane tomas and ii strengthen the recipients ability to analyze location specific risks",2013-12-31,5e+06,2013
"p110671","republic of colombia","conational macroproyectos social interest program project","the project development objective is to enable access to affordable housing solutions for lowincome beneficiaries",2014-12-31,4e+07,2014
"p120205","latin america","socioeconomic database for latin america  the caribbean","",2013-03-31,184000,2013
"p121134","republic of costa rica",NA,"",2012-12-31,195000,2012
"p110599","argentine republic","essential public health functions programs ii project","the pdos are to i improve the stewardship role of the federal public health system through the strengthening of essential public health functions and ii increase the coverage and clinical governance  of priority public health programs",2018-04-30,4.61e+08,2018
"p120198","argentine republic","norte grande road infrastructure","the development objective of the proposed project is to reduce transport costs for users of provincial roads along selected corridors of the norte grande provinces through the improvement of the quality of those roads and the introduction of improved road asset management tools and methods",2019-12-31,5e+08,2019
"p120211","argentine republic","norte grande water infrastructure","the pdo is to increase sustainable access to water supply and urban drainage services in the norte grande region of argentina by providing investments in infrastructure and supporting institutional development",2019-04-26,2.4e+08,2019
"p121391","republic of haiti","haiti postdisaster partial credit guarantee program support project","the objective of the project is to support the development of a partial credit guarantee program by the recipient to help ifinancial institutions restart lending and ii financial sector borrowers overcome the impact of the emergency",2015-06-30,35500000,2015
"p111479","republic of colombia","co rio bogota environmental recuperation and flood control project",NA,2022-09-30,4.87e+08,2022
"p125551","republic of peru","round 23peru integrated legal strategiese for the poor",NA,2015-09-30,1230813,2015
"p122370","republic of guatemala","emergency support for social services","the objective of the project is to preserve health and education services following severe flooding and other natural disasters that took place in guatemala between may and september 2010",2012-12-31,1e+08,2012
"p120860","republic of peru","catastrophe development policy loan ddo",NA,2019-12-09,1e+08,2019
"p116264","republic of peru","third results  accountability react programmatic dpl","the react dpl series supports policies which are expected to lead to i improved parental understanding of expected outcomes in education health and nutrition ii improved outcomes in second grade literacy especially in rural schools iii reduced maternal and neonatal mortality and iv better nutrition outcomes",2013-12-01,5e+07,2013
"p111795","republic of nicaragua","ni public financial management modernization project",NA,2020-08-31,22400000,2020
"p106870","republic of nicaragua","improving community and family health care services project","the objectives of the project are to i improve the access to and the quality of preventive and promotion health and nutrition services among poor and vulnerable populations in nicaragua ii strengthen the operational capacity of nicaragua moh through the rehabilitation of health centers and iii ensure financial support in case of a public health emergency",2016-05-31,2.1e+07,2016
"p124624","republic of colombia","avian flu prevention and early response project","the projects objective is to strengthen the ability for early detection of avian influenza cases in poultry and humans and build capacity to quickly respond and control possible avian influenza outbreaks",2011-06-30,890000,2011
"p114971","republic of paraguay","py energy sector strengthening project",NA,2018-10-31,1.25e+08,2018
"p120490","federative republic of brazil","identification of degraded areas in the amazon","",2011-12-30,685000,2011
"p121778","dominican republic","second performance and accountability of social sectors development policy loan","the objective is to improve results in social sectors mainly social protection education and health preserving in the short term and enhancing in the medium term the human capital of the poorest citizens",2011-11-01,1.5e+08,2011
"p106424","united mexican states","efficient lighting and appliances",NA,2014-06-30,713443600,2014
"p121800","united mexican states","medec lowcarbon dpl loan",NA,2012-06-23,401002507,2012
"p100438","united mexican states","adaptation to climate change impacts on the coastal wetlands in the gulf of mexico","the objective of the project is to promote adaptation to the consequences of climate impacts in the coastal wetlands of the gulf of mexico through the implementation of pilot measures that would provide information on the costs and benefits of alternative approaches to reduce their vulnerability the project also seeks to assess the overall impacts of climate change on national water resource planning including the identification of potential response options with a focus on coastal wetlands and associated watersheds the experience from the project pilots is intended to inform the governments future adaptation strategy and development programs in the gulf region",2016-10-31,23500000,2016
"p120654","united mexican states","mx gef efficient lighting and appliances",NA,2015-07-30,192118600.1,2015
"p124107","grenada","small farmer vulnerability reduction initiative","the objective of the grant is to provide immediate and urgent assistance to at least 1100 small farmers in grenada to cope with therecent global financial and food crisis and weather fluctuations through the provision of incentives for purchasing improved agriculture input water management technology and adoption of improved livestock practices",2014-12-08,1e+06,2014
"p110752","republic of peru","justice services improvement project ii","the project development objective of the justice services improvement project ii is to improve the quality of service delivery by the participating institutions and to enhance access to justice with a focus on citizens needs for justice services",2016-06-30,3e+07,2016
"p121195","united mexican states","mx water utilities efficiency improvement project prome","the pdo is to improve the efficiency of participating water utilities through the provision of technical assistance and financing",2016-06-30,1.62e+08,2016
"p121220","republic of honduras","emergency recovery development policy credit",NA,2011-11-15,74700000,2011
"p095171","federative republic of brazil","integrated health and water management project swap","the objectives of the project are to a increase access to clean water sanitation and
basic health care in at least 10 selectedmunicipalities most affected by infectious
intestinal diseases id and b improve neonatal health care in 25 selected hospitals
using a barema indicator of quality and efficiency",2017-10-31,6e+07,2017
"p121157","plurinational state of bolivia","reducing risks for biodiversity conservation using adaptive fire management","",2013-05-31,0,2013
"p106702","federative republic of brazil","integrated solid waste management and carbon finance project","the objective of the project is to improve the treatment and final disposal of municipal solid waste in brazil while a supporting i the closing of open dumps and the implementation of modern and environmentally safe landfills or alternatives to waste disposal ii improved municipal solid waste management practices iii reduction of poverty among waste pickers and iv increased private sector participation in solid waste service provision and b strengthening caixa economica federals capacity to manage carbon finance projects",2015-12-31,57130316,2015
"p124509","central america","regional strategy for the development of statistics","",2013-06-30,183000,2013
"p116215","oriental republic of uruguay","first programmatic public sector competitiveness and social inclusion development policy loan","the main development objectives of the loan are the following
i strengthening public sector administration
ii improving competitiveness through measures seeking to facilitate
trade strengthen the business environment and develop financial
markets
iiiimproving social inclusion through measures seeking to enhance the
equity and efficiency of health education and social protection
systems
the loan fits into three of the four pillars identified in the cps namely i
macroeconomicpublic sector management ii competitiveness and iii
social inclusion and equity",2011-12-31,1e+08,2011
"p121007","republic of colombia","traditional knowledge is the prescription for environmental land management",NA,2012-02-29,199733,2012
"p110018","cooperative republic of guyana","improving teacher education","the project development objective is to assist the recipient to improve the effectiveness and efficiency in the delivery of quality teacher education",2015-07-31,5121000,2015
"p096337","federative republic of brazil","reforestation with native species around aestiete reservoirs","the reforestation using native species around aes tietreservoirs project aims to reforest with native tree species an area of approximately 2500 ha to deliver 400000 ers to the biocf by 2011",2014-12-31,27254000,2014
"p123205","republic of haiti","jsdf grant for emergency community cash for work project","the grant is to mitigate the impact of the economic crisis on vulnerable haitian families by creating opportunities for the poor and  vulnerable to earn an income to meet their basic and urgent needs while rehabilitating basic infrastructure and services in the co mmunity this will be achieved through a cash for work program in the metropolitan area of portauprince where the largest number o f poor and vulnerable people live around 12 million and in a few key areas such as gonaives and st marc where another 500000 dis placed persons have been housed temporarily the centre for national coordination on food security cnsa and the famine early warni ng systems network reported that as a consequence of the food fuel and financial crises 28 million haitians were food insecure i n 2008 their precarious situation has been aggravated recently by the january earthquake",2012-03-31,2840000,2012
"p101504","federative republic of brazil",NA,"the objective of the project is to strengthen the bf programs ability to achieve its objective of reducing poverty and inequality and promoting human capital development by improving schooling and health status of children and reducing incidence of malnutrition among the poor population the proposed operation would achieve this objective by supporting a the strengthening of the programs overall governance through enhanced basic program management functions and accountability oversight and control functions in three axes the registry of beneficiaries cadastro unico management of benefits and monitoring of conditionalities b the consolidation of the programs monitoring and evaluation system and c the strengthening of linkages between bolsa familia beneficiaries with complementary actions beyond the program to promote graduation from poverty these activities would be carried out through the national commitment for social development strategy in the mds",2018-12-31,2.15e+08,2018
"p111928","belize","municipal development","the objective of the proposed municipal development project is to improve and maintain municipal service delivery in selected towns of belize",2016-11-30,15730000,2016
"p124157","republic of honduras","hn employment generation in poor urban neighborhoods","to mitigate the impact that the global economic crisis has had on selected families in the eligible municipalities in honduras by providing them with emergency income support via employment generation subprojects",2015-03-15,2545000,2015
"p118540","federative republic of brazil","santa catarina rural competitiveness","the objective of the project is to increase the competitiveness of family agriculture producer organizations while providing support for an improved framework of structural competitiveness inducing public services activities in the borrowers territory",2017-06-30,1.89e+08,2017
"p120523","federative republic of brazil","brazil rural environmental cadastre technical assistance project","",2011-12-31,3500000,2011
"p116214","republic of peru","fourth programmatic fiscal managment development policy loan","the objectives are to support a growth with equity b fiscal adjustment improve quality of public expenditures and c public sector that facilitates private sector development",2011-12-31,1e+08,2011
"p106768","federative republic of brazil","brazil  rio de janeiro renovating and strengthening public management","the objective of the project is to support the state of rio de janeiro to introduce performancebased management and information technologies to drive service delivery improvements in key public services including secondary education and hospital care",2017-06-30,18719682.5,2017
"p118239","republic of haiti","emergency  development policy operation","the objective of the proposed operation is to  support enhanced accountability and transparency in the management of public resources in the context of the reconstruction the operation supports the governments capacity to manage public resources efficiently and transparently more specifically the operation supports the following measures i increasing transparency in budget transfers to the electricity sector ii reinstating budget controls and external and internal audit processes iii improving enforcement of the law on declaration of assets and  iv reinforcing public procurement regulation and enhancing transparency in procurement practices",2011-09-30,3e+07,2011
"p118713","republic of peru","peru third programmatic environmental development policy loan","the third programmatic environmental development policy loan program envdpl 3 continues to support the governments efforts to strengthen environmental governance and institutions in peru and mainstream environmental sustainability in the development agenda of key sectors mining fisheries and urban transport and energy within the scope of the envdpl program this third envdpl is consistent with one of the key pillars of the 2006 country partnership strategy cps for peru for fy07fyi1 and the 2009 cps progress report laying out a strategy to support the government of peru gop to achieve its goals of sustained economic growth the cps recognizes the need to raise the profile of environmental issues in peru by enhancing environmental public investments and strengthening the institutional framework in support of cps pillar i on economic growth the envdpl program will contribute to making growth environmentally sustainable by supporting the environmental legal and institutional framework biodiversity conservation enhancing control over air and water pollution improving the sustainability of the mining sector and the  sustainable management of fisheries resources in addition by supporting the policy instruments of the recently created ministry of environment minam the envdpl program would contribute to the modernization of the state institutions cps pillar iii",2013-12-31,7.5e+07,2013
"p104760","republic of peru","pe sierra irrigation subsector","the project development objective pdo is to contribute to increasing agricultural production and productivity in targeted areas of the sierra",2016-12-31,48330000,2016
"p121136","republic of peru","adapting native andean crops for food security in the face of climate change","",2012-12-31,2e+05,2012
"p117590","republic of colombia","science technology and innovation",NA,2015-12-31,41500000,2015
"p111918","republic of chile","cl securitization and carbon sinks project","to ensure the afforestationreforestation and sustainable management of 29176 ha of planted forest to sequester greenhouse gasescontrol erosion enhance biodiversity values and provide additional means of livelihood for local small producers and landholders a higherlevel objective is to demonstrate delivery mechanisms for carbon sequestration through afforestationreforestation whilepromoting biodiversity conservation and mainstreaming forestry into economic development in chile",2016-04-11,11067500,2016
"p111665","federative republic of brazil","rio de janeiro municipality fiscal consolidation for efficiency and growth dpl","the objective of the operation is to assist the municipality of rio de janeiro in creating fiscal space which will be used for investments to improve the quality and efficiency of public service delivery especially in poor areas through innovative programs in health education and private sector development other investments will strengthen the institutional framework for efficient service delivery through the implementation of a medium term expenditures framework resultsbased management with the public sector and ppps with the private sector",2013-06-30,1.045e+09,2013
"p115592","republic of honduras","social protection",NA,2018-12-31,4e+07,2018
"p122181","republic of nicaragua","nicaragua food emergency support program for school children","the proposedgrant development objective is to maintain nourishment intake of pre and primary school children in 67 most vulnerable  municipalities in nicaragua which have been negatively impacted by diminishing resources for school feeding due to the combined ef fects of the economic and food prices crisis",2012-07-21,2970387,2012
"p115347","united mexican states","school based management apl ii","the longterm development objective pdo of this adaptable program lending is to improve the quality of education as measured by coverage social participation and educational outcomes consistent with its development objective the pdo for phase ii the project is to strengthen pec by increasing overall coverage and social participation in eligible schools while putting greater emphasis on public marginalized schools and on the indigenous population as well as a reorientation of the school grants to improve public schools internal efficiency and learning outcomes",2014-06-30,366700000,2014
"p094335","republic of paraguay","conservation of biodiversity and sustainable land management in the atlantic forest of eastern paraguay",NA,2016-04-10,18290200,2016
